Year_and_Month,Num_Sold,Average_Transaction,Product,Categoryid
"2022 01",6,1250.960000,"HP Spectre x360",120
"2022 01",6,20.360000,"Where the Crawdads Sing",125
"2022 01",6,52.900000,"GMAT Study Guide",100
"2022 01",6,254.900000,"MATLAB Student Edition",120
"2022 01",6,213.820000,"Nutrition for Health and Fitness",100
"2022 01",6,24.330000,"Studio Floor Easel (H-Frame, Wood)",115
"2022 01",6,7.850000,"Fellowes Mesh Desk Organizer",110
"2022 01",6,10.100000,"Holbein Artist Gouache Set (24 Colors)",115
"2022 01",6,114.710000,"Anker Soundcore Life Q30",120
"2022 01",6,107.060000,"Beats Studio Buds",120
"2022 01",6,24.280000,"Foam Brushes (Assorted Sizes, Pack of 20)",115
"2022 01",6,28.920000,"Canson Comic Book Art Boards (11x17 inches)",115
"2022 01",6,6.850000,"Bostitch Heavy-Duty Stapler (100 Sheet Capacity)",110
"2022 01",6,9.090000,"LTCA Year Up Coffee Tumbler (Stainless Steel)",130
"2022 01",6,12.300000,"LTCA Year Up Poster (Motivational Quote)",130
"2022 01",6,12.120000,"Index Cards (3x5, White, Pack of 500)",110
"2022 01",6,12.300000,"Pencil and Marker Organizer Tray",115
"2022 01",6,134.800000,"Physical Therapy Principles",100
"2022 01",6,39.750000,"LTCA Year Up Desk Clock",130
"2022 01",6,40.550000,"LTCA Year Up Cutting Board (Bamboo)",130
"2022 01",6,182.250000,"Introduction to Public Health",100
"2022 01",5,71.800000,"MCAT Biology and Biochemistry",100
"2022 01",5,28.880000,"Dell 130W USB-C Charger",120
"2022 01",5,12.700000,"The Omnivore’s Dilemma",125
"2022 01",5,76.520000,"NCLEX-RN Exam Prep",125
"2022 01",5,111.900000,"Materials Science and Engineering",100
"2022 01",5,637.520000,"Huawei MatePad Pro",120
"2022 01",5,32.640000,"LTCA Year Up Knit Hat with Pom (Navy and White)",130
"2022 01",5,32.110000,"Lenovo ThinkPad 90W AC Adapter",120
"2022 01",5,2.400000,"Prismacolor Premier Colored Pencils (Set of 48)",110
"2022 01",5,187.250000,"Data Structures and Algorithms",100
"2022 01",5,9.090000,"Sticky Notes (3x3, Yellow, Pack of 12)",110
"2022 01",5,379.400000,"Casio fx-9750GII",120
"2022 01",5,51.960000,"Winsor & Newton Oil Paint Set (10 Tubes)",115
"2022 01",5,213.820000,"Mental Health Nursing",100
"2022 01",5,26.520000,Cosmos,125
"2022 01",5,312.700000,"Java Development Kit (JDK)",120
"2022 01",5,12.150000,"Fiskars 12-Inch Paper Trimmer",115
"2022 01",5,63.700000,"Fabriano Watercolor Paper (12-Sheet Block, Cold Pressed)",115
"2022 01",5,74.280000,"CliffsNotes Physics Review",125
"2022 01",5,228.300000,"Research Methods in Social Sciences",100
"2022 01",5,6.020000,"Sharpie Fine Point Permanent Markers (Assorted Colors, Pack of 12)",110
"2022 01",5,178.600000,"Calculus I",100
"2022 01",5,72.500000,"CalDigit TS4 Thunderbolt 4 Dock",120
"2022 01",5,19.480000,"Self-Healing Cutting Mat (18x24 inches)",115
"2022 01",5,17.700000,"Blue Sky Academic Planner (July 2024 – June 2025)",110
"2022 01",5,9.950000,"Swingline Standard Stapler (Black)",110
"2022 01",5,225.450000,"Encyclopedia Britannica Concise Edition",125
"2022 01",5,1317.700000,"Dell XPS 13",120
"2022 01",5,157.280000,"Geometry: A Comprehensive Guide",100
"2022 01",5,13.000000,"Kid-Safe Scissors (Set of 2)",115
"2022 01",5,20.360000,"Protractor and Compass Set",110
"2022 01",5,42.120000,"MCAT Official Prep Guide",125
"2022 01",5,144.400000,"Human Resource Management",100
"2022 01",5,48.960000,"Arteza Acrylic Paint Set (60 Colors)",115
"2022 01",5,12.000000,"LTCA Year Up Phone Case (iPhone 14)",130
"2022 01",5,155.600000,"Music Theory Essentials",100
"2022 01",5,14.320000,"ID Badge Holders with Clips (Pack of 10)",110
"2022 01",5,23.440000,"Quiet: The Power of Introverts",125
"2022 01",5,8.360000,"UHU Stic Glue Stick (Pack of 3)",110
"2022 01",5,9.950000,"Uni-ball Vision Elite Rollerball Pens (Black)",110
"2022 01",5,112.000000,"LTCA Year Up Noise-Canceling Headphones",130
"2022 01",5,9.450000,"Scotch Double-Sided Tape (Pack of 2)",110
"2022 01",5,157.280000,"Introduction to Topology",100
"2022 01",5,17.700000,"Smead Expanding File Folder (13-Pocket, Letter Size)",110
"2022 01",5,68.880000,"Microsoft Sculpt Ergonomic Keyboard",120
"2022 01",5,28.920000,"Harry Potter and the Sorcerer’s Stone",125
"2022 01",5,57.120000,"LTCA Year Up Fleece Jacket (Gray)",130
"2022 01",5,715.000000,"Samsung Galaxy Tab S9 Ultra",120
"2022 01",5,159.580000,"Organizational Behavior",100
"2022 01",5,737.520000,"Amazon Fire HD 10 Plus",120
"2022 01",5,28.000000,"LTCA Year Up Snow Globe",130
"2022 01",5,57.120000,"Winsor & Newton Watercolor Markers (Set of 6)",115
"2022 01",5,24.280000,"LTCA Year Up Stadium Blanket",130
"2022 01",5,19.360000,"Catching Fire",125
"2022 01",5,263.880000,"Introduction to Archaeology",100
"2022 01",5,303.520000,"Python Programming Language Installer",120
"2022 01",5,20.360000,"The Hobbit",125
"2022 01",5,26.520000,"Wooden Oval Paint Palette",115
"2022 01",5,29.810000,"Anker PowerPort III 65W Pod",120
"2022 01",5,221.480000,"Fundamentals of Nursing",100
"2022 01",5,6.000000,"Canvas Panels (Pack of 10, 8x10 inches)",115
"2022 01",5,2.400000,"Crayola Crayons (Pack of 64)",110
"2022 01",5,20.360000,"LTCA Year Up Flat-Brim Hat (White)",130
"2022 01",5,24.200000,"CrashCourse in U.S. History",125
"2022 01",5,52.960000,"LTCA Year Up Water Bottle (Plastic BPA-Free)",130
"2022 01",5,111.600000,Sociolinguistics,100
"2022 01",5,60.720000,"Japanese for Travelers",100
"2022 01",5,14.320000,"HP Premium32 Printer Paper (32 lb, 500 Sheets)",110
"2022 01",5,26.400000,"Glass Paint Mixing Palette (12x16 inches)",115
"2022 01",5,43.300000,"LTCA Year Up Laptop Sleeve (15-inch)",130
"2022 01",5,6.000000,"LTCA Year Up Magnet (Fridge)",130
"2022 01",5,903.900000,"Xiaomi Pad 5 Pro",120
"2022 01",5,2.880000,"Sakura Pigma Micron Pens (Black, Set of 6)",110
"2022 01",5,27.520000,"Wuthering Heights",125
"2022 01",5,24.200000,"Royal & Langnickel Zen Brush Set (Acrylic, Set of 8)",115
"2022 01",5,237.280000,"Microsoft Office 365",120
"2022 01",5,75.880000,"Seagate Backup Plus Hub (8TB)",120
"2022 01",5,10.160000,"Desk Drawer Organizer Bins (Set of 6)",110
"2022 01",5,8.450000,"Fiskars Softgrip Craft Scissors (5-inch)",110
"2022 01",5,8.000000,"LTCA Year Up Trophy Replica (Mini)",130
"2022 01",5,272.240000,"Evernote Premium",120
"2022 01",5,26.520000,"Disposable Paper Palette Pad (30 Sheets)",115
"2022 01",5,30.160000,"Belkin BoostCharge 32W USB-C Wall Charger",120
"2022 01",5,8.000000,"LTCA Year Up Mechanical Pencil (Pack of 2)",130
"2022 01",5,17.700000,"You Are a Badass",125
"2022 01",5,205.800000,"Clinical Anatomy",100
"2022 01",5,25.450000,"Atlas of Human Anatomy",125
"2022 01",5,43.130000,"Cracking the GMAT",125
"2022 01",5,12.120000,"Envelope Moistener with Adhesive",110
"2022 01",5,112.000000,"Hand Lettering Practice Workbook",115
"2022 01",5,108.330000,"JBL Live 660NC",120
"2022 01",5,61.140000,"LTCA Year Up Embroidered Baseball Cap (Black)",130
"2022 01",5,12.920000,"Faber-Castell Polychromos Colored Pencils (Set of 24)",110
"2022 01",5,5.240000,"Day Designer Daily Planner (Undated)",110
"2022 01",5,26.520000,"LTCA Year Up Folding Stadium Seat",130
"2022 01",5,6.000000,"ArtBin Essentials Box (Plastic Storage Container)",115
"2022 01",5,223.800000,"Macroeconomics: Concepts and Applications",100
"2022 01",5,30.620000,"Samsung 25W Super Fast Charger",120
"2022 01",5,4.320000,"Prismacolor Premier Art Markers (Set of 12)",110
"2022 01",5,6.020000,"Sharpie Fine Point Permanent Markers (Black)",110
"2022 01",5,20.360000,"Ruler (12-inch, Stainless Steel)",110
"2022 01",5,144.000000,"Entrepreneurship and Innovation",100
"2022 01",5,20.360000,"Wall-Mounted Dry Erase Board (18x24 inches)",110
"2022 01",5,12.700000,"Staples D-Ring Binder (3-inch, Red)",110
"2022 01",5,6.000000,"Masking Tape (Artist Grade)",115
"2022 01",5,205.800000,"Microeconomics: An Introduction",100
"2022 01",5,77.810000,"AVerMedia Live Streamer CAM 513",120
"2022 01",5,40.550000,"LTCA Year Up Coasters (Set of 4, Cork)",130
"2022 01",5,24.280000,"Masterson Artist Palette Seal",115
"2022 01",5,192.260000,"Organic Chemistry I",100
"2022 01",5,25.000000,"Kneaded Erasers (Set of 3)",115
"2022 01",5,12.700000,"Avery Address Labels (Clear, Pack of 500)",110
"2022 01",5,19.480000,"LTCA Year Up Wall Calendar",130
"2022 01",5,6.520000,"Electric Desktop Pencil Sharpener (Heavy Duty)",110
"2022 01",5,12.000000,"LTCA Year Up Phone Case (Samsung Galaxy)",130
"2022 01",5,12.120000,"Winsor & Newton Cotman Watercolor Brushes (Set of 5)",115
"2022 01",4,40.550000,"Double-Sided Adhesive Tape (Roll)",115
"2022 01",4,244.900000,"Molecular Biology",100
"2022 01",4,69.900000,"Corsair K95 RGB Platinum Keyboard",120
"2022 01",4,33.100000,"Winsor & Newton Professional Watercolor Set (12 Tubes)",115
"2022 01",4,126.180000,"SteelSeries Arctis 7+",120
"2022 01",4,201.800000,"World History: Ancient to Modern",100
"2022 01",4,9.090000,"Field Notes Original Kraft Memo Books (3-Pack)",110
"2022 01",4,1294.300000,"Acer Chromebook Spin 713",120
"2022 01",4,214.320000,"Linear Algebra Essentials",100
"2022 01",4,698.800000,"Teclast T40 Pro",120
"2022 01",4,798.800000,"Chuwi HiPad Max",120
"2022 01",4,57.700000,"Sharpie Fine Point Markers (Set of 24)",115
"2022 01",4,52.900000,"GRE Prep 101",100
"2022 01",4,26.520000,"LTCA Year Up Soccer Ball (Regulation Size)",130
"2022 01",4,26.400000,"A Song of Ice and Fire: A Game of Thrones",125
"2022 01",4,20.360000,"The Life-Changing Magic of Tidying Up",125
"2022 01",4,29.300000,"LTCA Year Up Insulated Thermos",130
"2022 01",4,120.820000,"Razer Kraken X",120
"2022 01",4,102.090000,"Sony WH-1000XM5",120
"2022 01",4,27.520000,"DAS Modelling Clay (2.2 lbs, Terra Cotta)",115
"2022 01",4,188.120000,"The Art of Writing",100
"2022 01",4,24.280000,"LTCA Year Up Umbrella (Compact)",130
"2022 01",4,25.450000,"Big Little Lies",125
"2022 01",4,217.340000,"Statistical Inference",100
"2022 01",4,683.360000,"HP Elite x2 G8",120
"2022 01",4,7.850000,"Bic Cristal Ballpoint Pens (Black, Pack of 10)",110
"2022 01",4,6.020000,"Dixon Oriole HB Pencils (Pack of 24)",110
"2022 01",4,9.950000,"Command Poster Strips",110
"2022 01",4,24.330000,"Tabletop Easel (Adjustable)",115
"2022 01",4,109.220000,"Sennheiser HD 450BT",120
"2022 01",4,9.090000,"Badge Lanyards (Assorted Colors, Set of 5)",110
"2022 01",4,164.200000,"American Literature: A Survey",100
"2022 01",4,43.300000,"Golden Heavy Body Acrylic Paints (Set of 6)",115
"2022 01",4,20.360000,"Bristol Smooth Paper Pad (9x12 inches)",115
"2022 01",4,12.120000,"Born a Crime",125
"2022 01",4,216.900000,"Political Science: Theory and Practice",100
"2022 01",4,24.280000,"Of Mice and Men",125
"2022 01",4,9.090000,"Winsor & Newton Watercolor Paint Set (12 Colors)",110
"2022 01",4,2.400000,"Paper Clips (Silver, Pack of 100)",110
"2022 01",4,207.850000,"Sharp EL-W516T",120
"2022 01",4,20.360000,"Newsprint Paper Pad (18x24 inches)",115
"2022 01",4,28.920000,"The Tipping Point",125
"2022 01",4,171.980000,"Introduction to Film Studies",100
"2022 01",4,9.090000,"Daler-Rowney Gouache Paint Set (12 Tubes)",115
"2022 01",4,20.360000,"Moleskine Classic Hardcover Notebook (Grid, Red)",110
"2022 01",4,4.320000,"BIC Xtra-Smooth Mechanical Pencils (0",110
"2022 01",4,12.300000,"Elmers Glue-All (16 oz)",115
"2022 01",4,20.360000,"The Catcher in the Rye",125
"2022 01",4,17.700000,1984,125
"2022 01",4,134.800000,"American History Since 1865",100
"2022 01",4,20.360000,"The Power of Habit",125
"2022 01",4,7.000000,"LTCA Year Up USB Flash Drive (32GB)",130
"2022 01",4,39.720000,"Liquitex Basics Acrylic Paint Set (48 Tubes)",115
"2022 01",4,152.400000,"Marketing Fundamentals",100
"2022 01",4,6.000000,"LTCA Year Up Enamel Pin (Round Logo)",130
"2022 01",4,52.400000,"LTCA Year Up Long-Sleeve Tee (Black)",130
"2022 01",4,24.280000,"Man’s Search for Meaning",125
"2022 01",4,12.700000,"Moleskine Weekly Planner (2024, Black)",110
"2022 01",4,165.500000,"Principles of Accounting",100
"2022 01",4,31.890000,"Google Pixel USB-C 30W Power Adapter",120
"2022 01",4,20.360000,Verity,125
"2022 01",4,57.700000,"Copic Sketch Markers (Set of 24)",115
"2022 01",4,24.200000,"The Subtle Art of Not Giving a Fck*",125
"2022 01",4,111.900000,"Introduction to Mechanical Engineering",100
"2022 01",4,8.000000,"Winsor & Newton Masking Fluid (75ml)",115
"2022 01",4,12.000000,"Spray Fixative for Drawings (11 oz)",115
"2022 01",4,57.700000,"LTCA Year Up Quarter-Zip Sweatshirt (Black)",130
"2022 01",4,113.820000,"Jabra Elite 85h",120
"2022 01",4,57.700000,"Sakura Pigma Micron Pens (Set of 8, Black)",115
"2022 01",4,126.180000,"Logitech G PRO X Wireless",120
"2022 01",4,1717.700000,"Apple MacBook Pro (M2, 14-inch)",120
"2022 01",4,281.430000,"Final Draft 12",120
"2022 01",4,1061.140000,"Acer Aspire 5",120
"2022 01",4,12.120000,"Mead Cambridge Business Notebook (Professional Design)",110
"2022 01",4,1291.710000,"Chromebook Pixelbook Go",120
"2022 01",4,24.280000,"LTCA Year Up Umbrella (Golf Style)",130
"2022 01",4,4.320000,"Magnetic Clips (Assorted Colors, Set of 12)",110
"2022 01",4,2.880000,"Five Star Wirebound Notebook (3 Subject, Wide Ruled)",110
"2022 01",4,77.360000,"Sony ECM-W2BT Wireless Microphone",120
"2022 01",4,27.520000,"A Short History of Nearly Everything",125
"2022 01",4,19.360000,"Avery Heavy-Duty 3-Ring Binder (1-inch, White)",110
"2022 01",4,17.700000,"How to Win Friends and Influence People",125
"2022 01",4,66.000000,"Conte Crayons (Set of 12)",115
"2022 01",4,23.440000,Dune,125
"2022 01",4,48.000000,"Calligraphy Dip Pen with Nibs (Set of 6)",115
"2022 01",4,209.240000,"Epidemiology: Basics and Applications",100
"2022 01",4,12.320000,"Gorilla Glue Super Glue Gel",110
"2022 01",4,47.610000,"Melissa & Doug Easel Paper Rolls (2-Pack)",115
"2022 01",4,34.140000,"HyperJuice GaN 100W Charger",120
"2022 01",4,20.360000,"Arches Watercolor Paper (Hot Pressed, 10x14 inches)",115
"2022 01",4,34.640000,"Daniel Smith Extra Fine Watercolors (6-Tube Set)",115
"2022 01",4,212.320000,"Medical Terminology",100
"2022 01",4,65.500000,"General’s Charcoal Pencils (Set of 6)",115
"2022 01",4,44.400000,"LTCA Year Up Performance Dri-Fit T-Shirt (Gray)",130
"2022 01",4,115.280000,"Pathophysiology Essentials",100
"2022 01",4,27.520000,"The Body: A Guide for Occupants",125
"2022 01",3,25.000000,"LTCA Year Up Graduation Sash",130
"2022 01",3,272.240000,"Zotero Citation Manager",120
"2022 01",3,12.700000,"APA Manual of Style (7th Edition)",125
"2022 01",3,27.520000,"Air-Dry Clay (10 lbs, White)",115
"2022 01",3,961.140000,"Asus ZenBook 14",120
"2022 01",3,1257.120000,"Lenovo Yoga 7i",120
"2022 01",3,155.000000,"Operations Management",100
"2022 01",3,25.450000,"Rich Dad Poor Dad",125
"2022 01",3,6.020000,"Stabilo Boss Original Highlighters (Fluorescent, Pack of 6)",110
"2022 01",3,13.130000,"The Glass Castle",125
"2022 01",3,1161.140000,"Razer Blade 14",120
"2022 01",3,20.320000,"The Night Circus",125
"2022 01",3,375.240000,"Texas Instruments TI-89 Titanium",120
"2022 01",3,19.480000,"Steel Ruler (12-inch)",115
"2022 01",3,6.020000,"Tesa Masking Tape (2-inch Roll)",110
"2022 01",3,18.000000,"Plaster of Paris (5 lbs)",115
"2022 01",3,113.430000,"Skullcandy Crusher Evo",120
"2022 01",3,2.400000,"Crayola Colored Pencils (Pack of 24)",110
"2022 01",3,44.500000,"LTCA Year Up Fleece Blanket (Gray)",130
"2022 01",3,10.100000,"Post-it Super Sticky Notes (Bright Colors, Pack of 15)",110
"2022 01",3,67.850000,"LSAT Logical Reasoning Practice",100
"2022 01",3,165.500000,"Strategic Management",100
"2022 01",3,12.120000,"Strathmore Bristol Paper Pad (11x17 inches)",110
